image_idx,threshold,found,subset_size,time_seconds
2,0.9,true,9,609.7582
2,0.99,true,14,998.9655
3,0.9,true,15,1083.455
6,0.9,true,14,1013.4975
14,0.9,true,11,812.0114
16,0.9,true,16,1208.8798
21,0.9,true,13,948.5577
22,0.9,true,9,637.3924
22,0.99,true,14,1021.5281
26,0.9,true,17,1256.8839
29,0.9,true,14,1026.2159
32,0.9,true,16,1177.5329
38,0.9,true,9,644.903
38,0.99,true,15,1130.4305
40,0.9,true,13,965.009
52,0.9,true,8,562.5002
52,0.99,true,14,1052.6628
55,0.9,true,17,1290.9314
57,0.9,true,7,485.9312
57,0.99,true,13,950.945
